"nome","resumo","coordenador"
"""CONTANDO HISTÓRIAS: FORTALECENDO LAÇOS DE IDENTIDADES CULTURAIS""","Em breve este conteúdo estará disponível.","Mairce Da Silva Araujo "
"ENSINO COLABORATIVO E USO DA TECNOLOGIA ASSISTIVA/COMUNICAÇÃO ALTERNATIVA NA EDUCAÇÃO BÁSICA","Em breve este conteúdo estará disponível.","Mara Lúcia Reis Monteiro Da Cruz "
"CAMINHOS FORMATIVOS NA PROFISSÃO DOCENTE: SABERES EM CONSTRUÇÃO","Em breve este conteúdo estará disponível.","Marcella Da Silva Estevez Pacheco Guedes "
"FORMAÇÃO PROFISSIONAL EM FOCO: REGÊNCIA EM CONTEXTOS ESPECIAIS","Em breve este conteúdo estará disponível.","Marcello De Oliveira Pinto "
"ORGANIZAÇÃO E SISTEMATIZAÇÃO PARA A DIVULGAÇÃO DE MATERIAIS QUE TRATAM DA TEMÁTICA ÉTNICO-RACIAL","Em breve este conteúdo estará disponível.","Marcelo José Derzi Moraes "
"A PRODUÇÃO DE SENTIDOS NA FORMACAO INICIAL DA EJA EM ESCOLAS PÚBLICAS DE SÃO GONÇALO","Em breve este conteúdo estará disponível.","Marcia Soares De Alvarenga "
"VOZES DA EDUCAÇÃO EM SÃO GONÇALO EM DADOS E IMAGENS","Em breve este conteúdo estará disponível.","Marcia Soares De Alvarenga "
"MONITORIA PARA A DISCIPLINA DE POLÍTICAS PÚBLICAS E EDUCAÇÃO PARA O CURSO DE PEDAGOGIA","Em breve este conteúdo estará disponível.","Marcia Taborda Corrêa Oliveira "
"OBSERVATÓRIO CIDADE E FORMAÇÃO HUMANA","Em breve este conteúdo estará disponível.","Marcio Francisco Teixeira De Oliveira "
"INVESTINDO NO SUCESSO ESCOLAR EM AMBIENTES DE EDUCAÇÃO NÃO FORMAL","Em breve este conteúdo estará disponível.","Maria Claudia De Oliveira Reis "
"MONITORIA DE CIÊNCIAS DA NATUREZA I","Em breve este conteúdo estará disponível.","Maria Cristina De Oliveira Doglio Behrsin "
"A ASTRONOMIA EM NOSSO DIA A DIA: ATIVIDADES PEDAGÓGICAS EM EDUCAÇÃO EM ASTRONOMIA NA ESCOLA BÁSICA","Em breve este conteúdo estará disponível.","Maria Cristina De Oliveira Doglio Behrsin "
"RODAS DE LEITURA: CONSTITUINDO UMA COMUNIDADE DE LEITORES NA BAIXADA FLUMINENSE","Em breve este conteúdo estará disponível.","Maria Da Conceição De Carvalho Rosa "
"LATO-SENSU ""DROGAS SOCIEDADE E PRÁTICAS EDUCATIVAS""","Em breve este conteúdo estará disponível.","Maria De Lourdes Da Silva "
"MEMÓRIA INSTITOCIONAL DA UERJ","Em breve este conteúdo estará disponível.","Maria Georgina Muniz Washington "
"PRINCÍPIOS E PROCESSOS DE ALFABETIZAÇÃO DE CRIANÇAS JOVENS E ADULTOS: UMA EXPERIÊNCIA EM MONITORIA","Em breve este conteúdo estará disponível.","Maria Letícia Cautela De Almeida Machado "
"A FORMAÇÃO DE PROFS ALFABETIZADORES EM CONTEXTOS DE DIVERSIDADE: POLÍTICAS E PRÁTICAS CURRICULARES","Em breve este conteúdo estará disponível.","Maria Letícia Cautela De Almeida Machado "
"PRINCÍPIOS E ESTRATÉGIAS DIDÁTICO-PEDAGÓGICAS PARA A FORMAÇÃO DE LICENCIANDOS EM EAD","Em breve este conteúdo estará disponível.","Maria Letícia Cautela De Almeida Machado "
"EDUCAÇÃO INFÂNCIAS E CULTURAS: APRENDIZAGEM E DESENVOLVIMENTO NO TRABALHO COM CRIANÇAS","Em breve este conteúdo estará disponível.","Maria Luisa Furlin Bampi "
"HISTÓRIAS MEMÓRIAS NO/DO COTIDIANO DA INICIAÇÃO À DOCÊNCIA: QUE SENTIDOS SÃO PRODUZIDOS?","Em breve este conteúdo estará disponível.","Maria Luisa Furlin Bampi "
"CRIATIVIDADE EM LEITURA E ESCRITA A PARTIR DO DESENHO E DO JOGO DE FAZ DE CONTA.","Em breve este conteúdo estará disponível.","Maria Luisa Furlin Bampi "
"MONITORIA E FORMAÇÃO DOCENTE CRÍTICA NA DISCIPLINA ""POLÍTICAS PÚBLICAS E EDUCAÇÃO""","Em breve este conteúdo estará disponível.","Maria Teresa Cavalcanti De Oliveira "
"OFICINA DE JOGOS MATEMÁTICOS NOS ANOS INICIAIS: RESOLVENDO PROBLEMAS E CRIANDO ESTRATÉGICAS","Em breve este conteúdo estará disponível.","Mariana R. Zadminas "
"QUAIS HISTÓRIAS DE QUAL EDUCAÇÃO?PRÁTICAS E PROPOSTAS PEDAGÓGICAS NA HISTÓRIA DA EDUCAÇÃO BRASILEIRA","Em breve este conteúdo estará disponível.","Marilene Antunes Sant´anna "
"ESTÁGIO CURRICULAR NA EI: DIÁLOGOS SABERES E FAZERES NA FORMAÇÃO DOCENTE","Em breve este conteúdo estará disponível.","Marina Pereira De Castro e Souza "
